open_time,open,high,low,close,volume,return_1d,return_7d,volatility_7d,rsi,sma_20,sma_50,sma_200,macd,future_return,label
2023-09-15,26522.73,26888.0,26224.0,26600.0,26227.29369,0.0029133501717206,0.0266108334459003,490.4194719975544,51.80964952529585,26122.9395,27407.6106,27676.0648,-297.7670436183107,-0.001516165413533943,1
2023-09-16,26599.99,26777.0,26445.0,26559.67,13960.93351,-0.0015161654135339,0.0254061427069589,527.2136623709087,51.29701027065203,26145.8345,27352.5212,27693.1553,-241.08963744594803,-0.0012108584180451354,1
2023-09-17,26559.67,26623.25,26399.0,26527.51,12998.10277,-0.0012108584180451,0.0265424638789919,533.3832878808095,50.86480398280377,26166.21,27296.0134,27707.648,-196.502272069356,0.00885872816559119,1
2023-09-18,26527.5,27409.0,26377.35,26762.51,43000.43256,0.0088587281655911,0.0635862385802374,307.01367557575253,53.92005887335901,26118.5185,27245.6418,27724.13395,-140.58337016952646,0.016730493514995448,1
2023-09-19,26762.5,27483.57,26667.79,27210.26,36190.52187,0.0167304935149954,0.053024562598442,302.373358173934,59.13403383963159,26114.032,27205.202,27748.41355,-59.45222628596821,-0.0031333768953327734,1
2023-09-20,27210.25,27388.63,26800.0,27125.0,34207.21867,-0.0031333768953327,0.0344367325146823,292.125671130384,57.793039396056336,26173.243,27153.5822,27772.305700000004,-2.0117890405999788,-0.020531612903225693,0
2023-09-21,27125.01,27159.6,26377.7,26568.08,34476.82662,-0.0205316129032256,0.0017098541515145,286.48051378932547,49.842107398700726,26211.3945,27101.2236,27792.9949,-1.4123377624273417,0.00045392817245337724,1
2023-09-22,26568.08,26743.38,26468.77,26580.14,18198.2292,0.0004539281724533,-0.0007466165413534,288.4750723736734,50.00251680218459,26246.926,27048.9536,27813.8456,0.0354640966797887,-0.00015726027026197187,1
2023-09-23,26580.14,26632.81,26509.0,26575.96,9440.7026,-0.0001572602702619,0.0006133359337672,286.63176460573226,49.942898727669096,26277.1635,26998.193000000003,27835.7356,0.8359303498655208,-0.012326177492741452,1
2023-09-24,26575.97,26738.54,26122.08,26248.38,15706.65771,-0.0123261774927414,-0.0105222842249422,339.575471273355,45.37679589593962,26298.2815,26941.718,27858.4503,-24.678187888803222,0.0021498469619840588,1
2023-09-25,26248.39,26446.15,25990.46,26304.81,26266.2039,0.002149846961984,-0.0171022822597729,373.3818189073003,46.28780392927069,26323.917,26886.0458,27888.16325,-39.885110293587786,-0.0031606386816709353,1
2023-09-26,26304.8,26397.46,26088.34,26221.67,18495.35066,-0.0031606386816709,-0.0363315161266375,312.0185860383773,45.09449412798492,26347.003000000004,26826.258,27918.51815,-57.97708527974464,0.005770799495226742,1
2023-09-27,26221.68,26850.0,26112.06,26372.99,34771.57978,0.0057707994952267,-0.0277238709677418,160.9880577353276,47.73547140448584,26352.902500000004,26758.3094,27948.104450000003,-59.41989092098083,0.024585759900564774,2
2023-09-28,26373.0,27308.48,26342.4,27021.39,44517.83491,0.0245857599005647,0.0170622039680699,281.274701518537,57.22903337321093,26408.447000000004,26707.0974,27973.22585,-8.148927922851726,-0.004234793250828317,1
2023-09-29,27021.39,27244.89,26665.16,26906.96,28478.76219,-0.0042347932508283,0.0122956462983265,325.3042834903912,55.31926741684359,26458.7145,26656.1216,27987.19325,22.985176168818725,0.002066379851161315,1
2023-09-30,26906.96,27094.99,26886.31,26962.56,12804.62307,0.0020663798511613,0.0145469815577687,366.2809869876168,56.086073560608526,26514.762,26606.8522,27998.654,51.55138107062885,0.03820149125305594,2
