open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_base_volume,taker_quote_volume,ignore,return_1d,return_7d,volatility_7d,rsi,sma_20,sma_50,sma_200,macd
2023-09-15,26522.73,26888.0,26224.0,26600.0,26227.29369,1694822399999,695203258.0004445,654094,12600.39115,334045930.7667212,0,0.0029133501717206745,0.026610833445900317,490.4194719975544,51.80964952529585,26122.9395,27407.6106,27676.0648,-297.7670436183107
2023-09-16,26599.99,26777.0,26445.0,26559.67,13960.93351,1694908799999,370889866.4592735,526416,6508.91352,172926781.3888423,0,-0.001516165413533943,0.025406142706958956,527.2136623709087,51.29701027065203,26145.8345,27352.521199999996,27693.1553,-241.08963744594803
2023-09-17,26559.67,26623.25,26399.0,26527.51,12998.10277,1694995199999,344703727.5601071,476775,6359.89459,168675580.016463,0,-0.0012108584180451354,0.02654246387899195,533.3832878808095,50.86480398280377,26166.21,27296.0134,27707.647999999997,-196.50227206935597
2023-09-18,26527.5,27409.0,26377.35,26762.51,43000.43256,1695081599999,1158780347.6253047,938705,21551.71605,580912488.7594309,0,0.00885872816559119,0.06358623858023749,307.01367557575253,53.920058873359004,26118.5185,27245.641799999998,27724.13395,-140.58337016952646
2023-09-19,26762.5,27483.57,26667.79,27210.26,36190.52187,1695167999999,981539255.55962,898076,17851.15558,484061308.12493294,0,0.016730493514995448,0.053024562598442015,302.373358173934,59.13403383963159,26114.032,27205.201999999997,27748.41355,-59.45222628596821
2023-09-20,27210.25,27388.63,26800.0,27125.0,34207.21867,1695254399999,927206075.9626272,867288,16983.43086,460402346.17078334,0,-0.0031333768953327734,0.03443673251468238,292.125671130384,57.793039396056336,26173.243,27153.582199999997,27772.305700000004,-2.0117890405999788
2023-09-21,27125.01,27159.6,26377.7,26568.08,34476.82662,1695340799999,920768143.3513128,823416,16878.78202,450738363.8506985,0,-0.020531612903225693,0.0017098541515145893,286.48051378932547,49.842107398700726,26211.394500000002,27101.223599999998,27792.9949,-1.4123377624273417
2023-09-22,26568.08,26743.38,26468.77,26580.14,18198.2292,1695427199999,484331618.9485319,567149,8484.09679,225805692.72356927,0,0.00045392817245337724,-0.0007466165413534398,288.4750723736734,50.00251680218459,26246.926,27048.953599999997,27813.8456,0.03546409667978878
2023-09-23,26580.14,26632.81,26509.0,26575.96,9440.7026,1695513599999,250873957.3886738,421717,4387.1973,116581214.130133,0,-0.00015726027026197187,0.0006133359337672228,286.63176460573226,49.942898727669096,26277.163500000002,26998.193000000003,27835.7356,0.8359303498655208
2023-09-24,26575.97,26738.54,26122.08,26248.38,15706.65771,1695599999999,416368301.3736848,545045,7547.06342,200078452.01675767,0,-0.012326177492741452,-0.01052228422494228,339.575471273355,45.37679589593962,26298.2815,26941.717999999997,27858.450299999997,-24.678187888803222
